Scenario - EJ_RSBC_5go1st_cond(50)tra(75%)												
Logfile written - 04/15/2021 18:46:22												
												
Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
210415_RL#219_15g	48	Picture	411	646419	0	2	400	3	0	next	other	0
210415_RL#219_15g	49	Picture	666	646819	0	2	20125	3	0	next	other	0
210415_RL#219_15g	50	Picture	777	666944	0	2	20127	4	0	next	other	0
210415_RL#219_15g	50	Manual	1	686955	20011	NA						
210415_RL#219_15g	51	Sound	211	687075	4	2			0		other	0
210415_RL#219_15g	51	Port Input	1	689225	2154	4						
210415_RL#219_15g	51	Response	1	689225	2154	4						
210415_RL#219_15g	51	Port Input	1	691302	4231	3						
210415_RL#219_15g	51	Response	1	691302	4231	3						
210415_RL#219_15g	51	Port Input	1	691305	4234	3						
210415_RL#219_15g	51	Response	1	691305	4234	3						
210415_RL#219_15g	52	Picture	555	692136	0	2	10129	4	0	next	false_alarm	281
210415_RL#219_15g	52	Port Input	1	692829	693	4						
210415_RL#219_15g	52	Response	1	692829	693	4						
210415_RL#219_15g	52	Port Input	1	694475	2340	3						
210415_RL#219_15g	52	Response	1	694475	2340	3						
210415_RL#219_15g	52	Port Input	1	696461	4325	4						
210415_RL#219_15g	52	Response	1	696461	4325	4						
210415_RL#219_15g	52	Port Input	1	696465	4329	4						
210415_RL#219_15g	52	Response	1	696465	4329	4						
210415_RL#219_15g	52	Port Input	1	698156	6021	3						
210415_RL#219_15g	52	Response	1	698156	6021	3						
210415_RL#219_15g	52	Port Input	1	698160	6025	3						
210415_RL#219_15g	52	Response	1	698160	6025	3						
210415_RL#219_15g	52	Port Input	1	699848	7712	3						
210415_RL#219_15g	52	Response	1	699848	7712	3						
210415_RL#219_15g	52	Port Input	1	701323	9187	4						
210415_RL#219_15g	52	Response	1	701323	9187	4						
210415_RL#219_15g	53	Picture	10	702264	0	2	533	4	0	next	hit	298
210415_RL#219_15g	53	Port Input	1	702769	505	4						
210415_RL#219_15g	53	Response	1	702769	505	4						
210415_RL#219_15g	53	Port Input	1	702773	509	4						
210415_RL#219_15g	53	Response	1	702773	509	4						
210415_RL#219_15g	54	Picture	351	702798	0	2	266	5	0	next	other	0
210415_RL#219_15g	55	Picture	1	703064	0	3	20126	5	0	next	false_alarm	304
210415_RL#219_15g	55	Port Input	1	704261	1197	3						
210415_RL#219_15g	55	Response	1	704261	1197	3						
210415_RL#219_15g	55	Port Input	1	705292	2228	4						
210415_RL#219_15g	55	Response	1	705292	2228	4						
210415_RL#219_15g	55	Port Input	1	706453	3389	3						
210415_RL#219_15g	55	Response	1	706453	3389	3						
210415_RL#219_15g	55	Port Input	1	707683	4619	3						
210415_RL#219_15g	55	Response	1	707683	4619	3						
210415_RL#219_15g	55	Port Input	1	708909	5845	3						
210415_RL#219_15g	55	Response	1	708909	5845	3						
210415_RL#219_15g	55	Port Input	1	708912	5848	3						
210415_RL#219_15g	55	Response	1	708912	5848	3						
210415_RL#219_15g	55	Port Input	1	710193	7129	4						
210415_RL#219_15g	55	Response	1	710193	7129	4						
210415_RL#219_15g	55	Port Input	1	710196	7132	3						
210415_RL#219_15g	55	Response	1	710196	7132	3						
210415_RL#219_15g	55	Port Input	1	711448	8384	3						
210415_RL#219_15g	55	Response	1	711448	8384	3						
210415_RL#219_15g	55	Port Input	1	712708	9644	3						
